Marcaj de timp,În acest moment aveți calitatea de :,Vârsta : ,Câte tranzacții online ați efectuat în perioada (feb-aprilie 2021) ?,În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Posibilitatea de a realiza comparații],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Accesibilitatea 24/24],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Oportunitatea de a plăti un preț mai mic],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Acces la o gamă mai largă de produse],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Abilitatea de a împărtăși experiențe pe rețelele de socializare],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Experiența personală],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Review-urile de pe site],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Opiniile celor apropiați],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Informația care ți-o oferă motoarele de căutare],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Brand-ul ],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Ușurința utilizării website-ului],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Politica de return],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Diversitatea gamei de produse],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Posibilitatea de a urmări comanda],În ce masură obișnuiți sa vă documentați înainte de a plasa o comandă online? ,Ce categorie de produse cumpărați cel mai mult online? ,Cât de frecvent efectuați achiziții online pe lună?,În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Timpul de livrare nu a fost respectat],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Produsul a ajuns cu defecte],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Costuri mari cu livrarea],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Calitate inferioară],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Returnarea produsului a fost dificilă],Ce ați făcut atunci când ați întâlnit o problemă cu produsul achiziționat online?,"În urma experiențelor dvs.  privind achizițiile online, care considerați ca a fost cea mai bună? De ce?",Dar cea mai puțin bună? De ce?,Numărul mediu pe care îl petreceți online (înafara cursurilor online).,Nivelul de studii  absolvit :,Genul :
2021/04/28 12:25:51 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:34:54 a.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:36:50 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:39:56 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 1:00:12 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 1:40:47 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 1:58:32 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,4,5,5,5,3,5,4,4,4,3,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,4,3,3,3,4,Am comunicat cu vanzătorul online pentru a remedia situația.,Nu am una anume,"O achiziție in care nu am agreat asupra returului, deși condițiile de pe site erau clare, mi s-au invocat tot felul de motive",Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/28 2:03:53 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 2:37:55 a.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,4,3,3,3,4,2,3,2,1,3,3,3,4,5,Cărți și reviste,o dată pe lună,2,2,3,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,",",",",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 4:30:27 a.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,5,5,3,5,4,4,4,5,4,5,4,3,4,Haine și încăltăminte,de 2-3 ori pe săptămână,3,2,3,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Între 2-3 ore,Studii liceale,Feminin
2021/04/28 5:34:35 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,5,4,4,4,4,2,4,4,4,2,5,Haine și încăltăminte,de 2-3 ori pe lună,4,1,4,1,1,Nu am luat nicio acțiune.,Produsele comandate ,Nu mi s- a livrat ce am cerut,Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/28 6:00:24 a.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,4,3,2,5,3,4,2,3,4,2,5,2,4,Haine și încăltăminte,de 2-3 ori pe lună,2,1,1,1,2,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Între 2-3 ore,Studii universitare,Feminin
2021/04/28 7:42:53 a.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,3,1,2,2,1,Nu am luat nicio acțiune.,Achizitiile de la Sinsay,Nu am ,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 8:24:34 a.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,5,5,3,4,5,5,3,3,4,2,5,5,3,4,3,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,3,1,3,3,1,Nu am luat nicio acțiune.,-,-,Între 2-3 ore,Studii liceale,Feminin
2021/04/28 9:29:39 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 9:43:53 a.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,Haine și încăltăminte,de 2-3 ori pe săptămână,4,4,5,4,3,Am comunicat cu vanzătorul online pentru a remedia situația.,Q cosmetics pentru promptitudine ,"E pantofi, nu au trimis banii inapoi in urma returului",Mai mult de 3 ore,Studii universitare,Feminin
2021/04/28 9:51:49 a.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,3,5,5,5,5,5,4,4,5,4,4,Haine și încăltăminte,o dată pe lună,3,1,2,3,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"calitatea. Atunci cand cumpar un produs, pentru mine e foarte important sa se respecte acest aspect al calitatii.","Marime mai mica decat pe site, si nu am reusit sa returnez.",Între 2-3 ore,Studii universitare,Feminin
2021/04/28 9:55:15 a.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,4,5,5,5,3,3,4,4,5,5,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,2,4,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Majoritatea experiențelor au fost bune deoarece m-am documentat inainte de a face o achiziție online,Cand am așteptat foarte mult timp produsul si nici nu a mai fost livrat,Între 2-3 ore,Studii universitare,Feminin
2021/04/28 9:58:04 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,4,4,4,1,5,3,4,3,3,5,5,5,5,5,Electronice,de 2-3 ori pe lună,5,3,4,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Mereu cand am comandat de pe site-uri din strainatate calitatea serviciilor a fost superioara,Am platit online un produs si cand a sosit curierul acesta mi-a cerut sa ii platesc produsul cash datorita unei discrepante in sistemele lor,Mai mult de 3 ore,Studii post-universitare,Masculin
2021/04/28 10:01:10 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,4,5,5,4,4,3,4,4,5,5,4,5,5,5,Haine și încăltăminte,de 2-3 ori pe lună,3,2,3,3,3,Am comunicat cu vanzătorul online pentru a remedia situația.,Timpul de livrare,Defect la produs,Între 2-3 ore,Studii post-universitare,Feminin
2021/04/28 10:30:42 a.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,5,5,5,2,4,5,5,3,5,2,2,5,5,3,Accesorii / produse de îngrijire personală,o dată pe săptămână,5,2,4,1,1,Nu am luat nicio acțiune.,Am avut foarte multe experiențe bune în ceea ce privește achizițiile online.,"A fost cu Mobilfox deoarece am comandat 3 huse de telefon la lansare, iar livrarea a durat 2 luni și o săptămână. Chiar credeam ca nu vor mai veni. Ei tot trimiteau mail-uri ""Ne cerem scuze, numărul de comenzi la lansare a fost foarte mare. Încercăm sa trimitem toate comenzile la timp"". Și cam atât. Nu răspundeau individual la mail-urile cu nemulțumiri.",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 10:39:43 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,5,4,4,1,4,4,4,4,2,5,4,4,5,5,Mâncare,o dată pe săptămână,2,1,4,2,1,Am scris o recenzie pe un blog.,Un shampon care are efecte benefice asupra parului meu.,"mancarea care o  puteam prepara si acasa, dar de lene am comandat.",Între 2-3 ore,Studii universitare,Feminin
2021/04/28 11:32:19 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 11:50:50 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 11:51:18 a.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,2,4,4,4,2,3,3,3,3,3,1,1,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,3,2,2,2,2,L-am returnat,.,.,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 11:51:57 a.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,2,4,4,4,2,3,3,3,3,3,1,1,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,3,2,2,2,2,L-am returnat,.,.,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 12:04:38 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,4,5,4,5,5,5,4,3,3,5,5,5,5,Haine și încăltăminte,o dată pe lună,1,1,5,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"De pe about you, am avut o experienta bună și cu calitatea și cu promptitudinea livrarii",Nu am avut. ,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/28 12:14:08 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:53:21 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,5,5,5,5,3,4,4,3,4,4,4,5,5,3,Cărți și reviste,o dată pe lună,4,2,4,3,4,Am povestit persoanelor apropiate despre experiența negativă.,"Toate au fost experiențe ok, am reușit să plătesc cu cardul direct și să îmi ajungă acasă doar ce am comandat, deși înainte eram paranoică în ceea ce privește plățile online și tot timpul preferam ramburs.",Nu au existat situații.,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 12:57:09 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,1,5,5,3,3,5,5,5,3,3,3,4,4,4,Mâncare,o dată pe săptămână,3,3,5,4,3,Nu am luat nicio acțiune., , ,Între 2-3 ore,Studii liceale,Masculin
2021/04/28 1:42:17 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5,Electrocasnice,o dată pe săptămână,3,2,2,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Momentul in care am achiziționat o piesa auto, a ajuns cu probleme, dar am comunicat extrem de ușor cu vânzătorul și am remediat situația in 2 zile. A fost un lucru extrem de bun ca am reușit sa rezolvam situația repede, nu am avut costuri extra și comunicarea a fost foarte buna. ",Încă nu am întâmpinat. ,Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/28 1:45:50 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,5,5,4,3,5,4,5,4,4,5,4,4,5,5,Accesorii / produse de îngrijire personală,o dată pe lună,2,1,3,2,1,nu am avut aceasta situatie,"Achizitia de produse de ingrijire personala/ skincare. Totul a fost ca pe site, site user friendly/ timp de livrare scurt, impachetare draguta/ mesaj dragut.",Intarziere comanda,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/28 3:14:36 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,1,5,5,5,3,4,2,1,1,4,5,5,5,5,2,Cărți și reviste,de 2-3 ori pe lună,2,1,1,1,1,N-am întâmpinat probleme,Achiziție de cărți. Vin cel mai repede ,Haine. Mi-a venit comanda peste 3 săptămâni ,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/28 3:51:08 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,2,3,2,2,3,4,4,3,4,4,5,5,5,5,5,Accesorii / produse de îngrijire personală,o dată pe săptămână,2,1,1,3,3,Nu am luat nicio acțiune.,"Pe site-urile mari ( ex:Emag, About you, Elefant) deoarece raportul calitate-pret a fost unul echilibrat si pozitiv.","Site-uri din strainatate, deoarece calitatea produselor nu era in conformitate cu ceea ce era prezentat pe site ",Între 2-3 ore,Studii post-universitare,Feminin
2021/04/28 3:52:16 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 3:59:22 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 4:00:10 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,1,5,2,2,1,5,5,5,2,5,4,5,3,5,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,1,1,3,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Accesul la orice produs de care am nevoie, rapid, la indemana, la preturi similare ca in magazinele fizice.","Avand in vedere optiunea de livrare, tendinta de a cumpara mai mult este din ce in ce mai greu de controlat. 🙈 ",Între 2-3 ore,Studii post-universitare,Feminin
2021/04/28 4:01:46 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 4:05:23 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 4:10:47 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,3,5,5,5,5,5,3,5,5,3,4,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,3,3,5,5,4,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/28 4:45:15 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,1,5,5,2,4,2,3,5,5,4,5,Haine și încăltăminte,de 2-3 ori pe lună,3,1,2,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Laptop-ul personal pe care il folosesc la munca si la cursuri. Am putut sa verific oferta in asa fel incat sa il cumpar in momentul in care pretul a scazut semnificativ. Alegera am facut-o dupa multe comparatii intre oferte online si dupa ce am citit mai multe recenzii. ,"Am cumparat un scaun de birou care era prea rigid. Spatarul era curbat iar curbura spatelui meu nu se plia pe curbura spatarului, motiv pentru care nu era deloc comfortabil. Culoarea era diferita de asemenea si nu se potrivea cu biroul. Unul din criteriile alegerii a fost exact culoarea. Dupa retur mi-au retinut bani atat pentru transport cat si pentru faptul ca ambalajul original fusese deteriorat, ceea ce mi s-a parut putin exagerat avand in vedere ca ambalajul era o cutie de carton. ",Mai mult de 3 ore,Studii universitare,Feminin
2021/04/28 4:51:56 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,5,5,3,3,3,4,5,5,5,5,4,Haine și încăltăminte,o dată pe lună,2,2,2,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Nu știu exact care ar fi cea mai bună însă știu sigur că achizițiile online făcute la About you au fost mereu de calitate înaltă.  ,Nu îmi amintesc cum se numește site-ul însă nu am avut experiențe prea bune când am comandat produse ieftine și de proastă calitate. ,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/28 4:54:45 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 5:16:47 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,3,5,5,5,4,3,4,4,4,3,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe săptămână,2,2,5,3,3,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Între 2-3 ore,Studii post-universitare,Feminin
2021/04/28 5:34:06 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,3,5,5,3,4,3,4,4,5,3,5,Cărți și reviste,o dată pe săptămână,2,1,3,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Supererou.ro Deoarece au răspuns imediat intrebarilor adresate,Mancarea nu a fost bine gătită si in urma contactării nu am primit nici un răspuns. ,Mai mult de 3 ore,Studii universitare,Masculin
2021/04/28 5:40:59 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 6:12:23 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5,Electrocasnice,o dată pe săptămână,3,2,2,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Momentul in care am achiziționat o piesa auto, a ajuns cu probleme, dar am comunicat extrem de ușor cu vânzătorul și am remediat situația in 2 zile. A fost un lucru extrem de bun ca am reușit sa rezolvam situația repede, nu am avut costuri extra și comunicarea a fost foarte buna. ",Încă nu am întâmpinat. ,Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/28 7:50:20 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,1,5,5,5,4,5,5,3,5,3,5,Haine și încăltăminte,de 2-3 ori pe lună,5,3,4,3,3,Am comunicat cu vanzătorul online pentru a remedia situația.,"1. Ghete pt trekking. Acest tip de produs are un preț ridicat, daca se alege o calitate superioara, motiv pentru care am urmarit o perioada mai lunga fluctuatia preturilor, astfel incat am facut achizitia la cel mai bun pret. ","Fotolii. Calitate proasta in realitate, comparativ cu cea afisata pe site. Produsele au fost returnate.",Mai puțin de 2 ore,Studii post-universitare,Feminin
2021/04/30 10:28:15 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,4,5,5,5,4,4,4,5,3,3,5,4,5,4,4,Mâncare,de 2-3 ori pe săptămână,3,1,3,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Consider ca, cea mai buna experienta privind achizitiile online, face parte din categoria de produse de mancare, deoarece timpul de livrare este relativ scurt, iar gama de produse este variata, fiind foarte accesibila achizitia online prin intermediul aplicatiilor mobile.","Consider ca, cea mai putin buna experienta privind achizitiile online, face parte din categoria de produse de haine si incaltaminte, deoarece timpul de livrare este relativ mare, iar informatiile privind gama de produse nu coincid intotdeauna cu cerintele personale.",Mai mult de 3 ore,Studii universitare,Feminin
2021/05/01 12:03:31 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,3,3,3,3,1,5,5,5,5,3,5,4,5,1,3,Cărți și reviste,de 2-3 ori pe lună,4,1,4,4,5,Am comunicat cu vanzătorul online pentru a remedia situația.,"Achizitiile de carti, caci le gasesc la pret mai redus.",Achizițiile de pe site uri neverificate.,Mai puțin de 2 ore,Studii post-universitare,Feminin
2021/05/04 8:29:25 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,4,4,3,1,4,3,3,1,3,3,4,2,2,5,Haine și încăltăminte,de 2-3 ori pe lună,2,2,3,3,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Am facut retur la o comanda, iar a doua zi mi-au pus banii pe card (neasteptat de repede)","Datorita lipsei de comunicare, la plasarea comenzii am fost sigura ca va veni cu curierul la adresa pusa la comanda, iar comanda a venit la posta ( aducand produsele din Italia, le-a trimis direct la posta, lucru care nu era mentionat niciunde), dupa mai multe e-mailuri si intrebari, mi-am recuperat coletul",Mai puțin de 2 ore,Studii universitare,Feminin
